Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip ,Longitude,Latitude
MUNDO TRAVEL,Travel Agency - 440,Non-Delivery of Goods - N01,10/11/2017,11/03/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,127,GRAHAM AVE,,BROOKLYN,NY,11206,11101,-73.94314189015428,40.70703087870154
DREAM WORLD FURNITURE CORP.,Furniture Sales - 242,Non-Delivery of Goods - N01,01/06/2017,01/20/2017,Goods Received - GDR,Yes,0.00,2997,3RD AVE,,BRONX,NY,10455,10475,,
MANSION 88 PARKING LLC,Garage - 049,Damaged Goods - D01,09/13/2017,09/29/2017,Cash Amount - AMT,Yes,1412.00,170,E END AVE,,NEW YORK,NY,10128,11580,-73.94397839396736,40.77603433855194
MAX WORLD OF CARS II INC,Secondhand Dealer Auto - 005,Damaged Goods - D01,01/12/2018,01/30/2018,Goods Repaired - GRS,Yes,0.00,332,,,WYCLOFF,NJ,07481,11385,-73.90565531561742,40.753433820009185
E Z PAWN CORP.,Jewelry Store-Retail - 823,Non-Delivery of Goods - N01,01/10/2017,01/31/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,1878,LEXINGTON AVE,,NEW YORK,NY,10035,11412,-73.94121029680255,40.79920124972608
1791 HAPPY LAUNDROMAT INC.,Laundry - 064,Misrepresentation - M01,07/03/2018,07/10/2018,Resolved and Consumer Satisfied - SPF,Yes,0.00,4315,171ST ST,,FLUSHING,NY,11358,10453,,
RAYMOUR & FLANIGAN FURNITURE,Furniture Sales - 242,Damaged Goods - D01,12/16/2016,01/06/2017,Cash Amount - AMT,Yes,3761.00,7248,MORGAN RD,,LIVERPOOL,NY,13090,10036,-73.98222939939772,40.773694346154095
A & G DESIGN CORP.,Home Improvement Contractor - 100,Breach of Contract - B03,07/13/2018,07/19/2018,Referred to Outside - RTO,NA,0.00,1564,W 9TH ST,,BROOKLYN,NY,11204,11214,-73.9539273812398,40.59068708767802
J & C TOW SERVICES INC.,Tow Truck Company - 124,Surcharge/Overcharge - S02,02/14/2018,02/27/2018,Cash Amount - AMT,Yes,136.00,9,WOODHULL ST,,BROOKLYN,NY,11231,07410,,
APOGEE NY LLC,Jewelry Store-Retail - 823,Exchange Goods/Contract Cancelled - E01,01/26/2018,02/22/2018,Advised to Sue - ATS,No,0.00,7949,E ACOMA DR,100,SCOTTSDALE,AZ,85260,10040,-73.90334290547828,40.88196714993463
VINCENT ESAU MITCHELL,Tow Truck Company - 124,Misrepresentation - M01,08/07/2018,08/15/2018,Cash Amount - AMT,Yes,136.00,285,MAPLE PKWY,,STATEN ISLAND,NY,10303,10308,-74.15664677495162,40.626516229497504
MIKE'S HEAVY DUTY TOWING INC.,Tow Truck Company - 124,Billing Dispute - B02,06/08/2017,07/17/2017,Referred to Outside - RTO,NA,0.00,816,LIBERTY AVE,,BROOKLYN,NY,11208,10026,-73.80758310818229,40.66060438891354
EAST 54TH OPERATING LLC,Garage - 049,Damaged Goods - D01,08/01/2018,09/07/2018,Advised to Sue - ATS,No,0.00,245,E 54TH ST,,NEW YORK,NY,10022,10022,-73.9678927260891,40.757895255677305
"WHOLE FOODS MARKET, INC.",Supermarket - 819,Non-Delivery of Goods - N01,05/04/2018,05/22/2018,Complaint Invalid - CIN,NA,0.00,550,BOWIE ST,,AUSTIN,TX,78703,11373,,
PILATES BODIES NY,Misc Non-Food Retail - 817,Breach of Contract - B03,03/15/2017,04/05/2017,No Business Response - NVR,No,0.00,15916,UNION TPKE,,FRESH MEADOWS,NY,11366,11361,,
BEST BUY CREDIT SERVICES,Misc Non-Food Retail - 817,Billing Dispute - B02,12/16/2016,01/26/2017,Resolved and Consumer Satisfied - SPF,Yes,0.00,P O,,,SAINT LOUIS,MO,63179,10026,,
MD BROADWAY ELECTRONICS & APPLIANCES,Appliances - 244,Exchange Goods/Contract Cancelled - E01,12/08/2017,12/19/2017,Advised to Sue - ATS,No,0.00,2128,JEROME AVE,,BRONX,NY,10453,10453,-73.9108248022589,40.84982178304856
PRESTIGE MOTOR SALES INC,Secondhand Dealer Auto - 005,Outstanding Judgment - J01,04/06/2018,05/25/2018,Referred to Hearing - RTH,No,0.00,122,18TH ST,,BROOKLYN,NY,11215,10027,-73.99535010117981,40.66524196384193
LIK WAY INC.,Home Improvement Contractor - 100,Quality of Work - Q01,06/28/2017,07/13/2017,Goods Repaired - GRS,Yes,0.00,5350,80TH ST,,ELMHURST,NY,11373,11204,-73.88409222799261,40.73110204302288
"BJ'S WHOLESALE CLUB, HOME OFFICE",Supermarket - 819,Advertising/General - A01,01/16/2018,01/29/2018,Cash Amount - AMT,Yes,90.00,25,RESEARCH DR,,WESTBOROUGH,MA,01581,10473,-73.930860669189,40.821743407535514
