,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Business City,Business State,Count the number of first five most complainted states,
0,Travel Agency - 440,Non-Delivery of Goods - N01,10/11/2017,11/03/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,NY,3726
1,Furniture Sales - 242,Non-Delivery of Goods - N01,01/06/2017,01/20/2017,Goods Received - GDR,Yes,BRONX,NY,IL,70
2,Garage - 049,Damaged Goods - D01,09/13/2017,09/29/2017,Cash Amount - AMT,Yes,NEW YORK,NY,NJ,68
3,Secondhand Dealer Auto - 005,Damaged Goods - D01,01/12/2018,01/30/2018,Goods Repaired - GRS,Yes,WYCLOFF,NJ,GA,67
4,Jewelry Store-Retail - 823,Non-Delivery of Goods - N01,01/10/2017,01/31/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,TX,62
5,Laundry - 064,Misrepresentation - M01,07/03/2018,07/10/2018,Resolved and Consumer Satisfied - SPF,Yes,FLUSHING,NY,,
6,Furniture Sales - 242,Damaged Goods - D01,12/16/2016,01/06/2017,Cash Amount - AMT,Yes,LIVERPOOL,NY,Calculate the rate of satisfication,
7,Home Improvement Contractor - 100,Breach of Contract - B03,07/13/2018,07/19/2018,Referred to Outside - RTO,,BROOKLYN,NY,Yes,2301
8,Tow Truck Company - 124,Surcharge/Overcharge - S02,02/14/2018,02/27/2018,Cash Amount - AMT,Yes,BROOKLYN,NY,Rate,51.87%
9,Jewelry Store-Retail - 823,Exchange Goods/Contract Cancelled - E01,01/26/2018,02/22/2018,Advised to Sue - ATS,No,SCOTTSDALE,AZ,,
10,Tow Truck Company - 124,Misrepresentation - M01,08/07/2018,08/15/2018,Cash Amount - AMT,Yes,STATEN ISLAND,NY,Calculate the industry which receive most complaint,
11,Tow Truck Company - 124,Billing Dispute - B02,06/08/2017,07/17/2017,Referred to Outside - RTO,,BROOKLYN,NY,Home Improvement Contractor - 100,708
12,Garage - 049,Damaged Goods - D01,08/01/2018,09/07/2018,Advised to Sue - ATS,No,NEW YORK,NY,,
13,Supermarket - 819,Non-Delivery of Goods - N01,05/04/2018,05/22/2018,Complaint Invalid - CIN,,AUSTIN,TX,,
14,Misc Non-Food Retail - 817,Breach of Contract - B03,03/15/2017,04/05/2017,No Business Response - NVR,No,FRESH MEADOWS,NY,,
15,Misc Non-Food Retail - 817,Billing Dispute - B02,12/16/2016,01/26/2017,Resolved and Consumer Satisfied - SPF,Yes,SAINT LOUIS,MO,,
16,Appliances - 244,Exchange Goods/Contract Cancelled - E01,12/08/2017,12/19/2017,Advised to Sue - ATS,No,BRONX,NY,,
17,Secondhand Dealer Auto - 005,Outstanding Judgment - J01,04/06/2018,05/25/2018,Referred to Hearing - RTH,No,BROOKLYN,NY,,
18,Home Improvement Contractor - 100,Quality of Work - Q01,06/28/2017,07/13/2017,Goods Repaired - GRS,Yes,ELMHURST,NY,,
19,Supermarket - 819,Advertising/General - A01,01/16/2018,01/29/2018,Cash Amount - AMT,Yes,WESTBOROUGH,MA,,
20,Garage & Parking Lot - 098,Outstanding Judgment - J01,02/02/2018,02/08/2018,Agency Collected Judgement - ACJ,Yes,NEW YORK,NY,,
21,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,01/20/2017,02/07/2017,Unable to Locate Business - ULV,,NEW YORK,NY,,
22,Garage - 049,Exchange Goods/Contract Cancelled - E01,07/26/2018,08/07/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
23,Garage - 049,Damaged Goods - D01,07/19/2017,08/23/2017,Advised to Sue - ATS,No,REGO PARK,NY,,
24,Tow Truck Company - 124,Billing Dispute - B02,07/14/2017,08/03/2017,Cash Amount - AMT,Yes,NEW HYDE PARK,NY,,
25,Tow Truck Company - 124,Misrepresentation - M01,08/23/2017,10/23/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
26,Home Improvement Contractor - 100,Quality of Work - Q01,03/23/2018,04/27/2018,Advised to Sue - ATS,No,HOWARD BEACH,NY,,
28,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,11/03/2017,11/13/2017,Goods Received - GDR,Yes,BROOKLYN,NY,,
29,Garage & Parking Lot - 098,Surcharge/Overcharge - S02,03/30/2017,04/11/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
30,Home Improvement Contractor - 100,Quality of Work - Q01,10/12/2017,11/08/2017,No Consumer Response - NCR,,FORKED RIVER,NJ,,
32,Garage & Parking Lot - 098,Non-Delivery of Goods - N01,06/25/2018,07/19/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
33,Dry Cleaners - 230,Closed without Notice,06/05/2018,06/20/2018,Goods Received - GDR,Yes,BROOKLYN,NY,,
34,Debt Settlement - 248,Misrepresentation - M01,03/23/2018,04/05/2018,Resolved and Consumer Satisfied - SPF,Yes,PLANO,TX,,
35,Misc Non-Food Retail - 817,Misrepresentation - M01,01/19/2018,02/09/2018,No Business Response - NVR,No,BROOKLYN,NY,,
36,Tow Truck Company - 124,Misrepresentation - M01,03/20/2017,04/06/2017,Cash Amount - AMT,Yes,BRONX,NY,,
37,Home Improvement Contractor - 100,Misrepresentation - M01,05/04/2018,06/07/2018,Advised to Sue - ATS,No,NEW YORK,NY,,
38,Appliances - 244,Damaged Goods - D01,07/06/2017,08/03/2017,Referred to Outside - RTO,,BROOKLYN,NY,,
39,Garage - 049,Surcharge/Overcharge - S02,10/13/2017,11/02/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
41,Home Improvement Contractor - 100,Quality of Work - Q01,01/06/2017,03/02/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
42,Debt Collection Agency - 122,Misrepresentation - M01,02/09/2018,02/23/2018,Resolved and Consumer Satisfied - SPF,Yes,FRISCO,TX,,
43,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,12/29/2016,01/26/2017,Goods Received - GDR,Yes,NEW YORK,NY,,
44,Electronic Store - 001,Defective Goods - D02,04/20/2017,05/01/2017,Resolved and Consumer Satisfied - SPF,Yes,RIDGEFIELD PARK,NJ,,
46,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,03/16/2017,04/28/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,BRONX,NY,,
47,Home Improvement Contractor - 100,Quality of Work - Q01,04/06/2017,05/12/2017,Consumer Took Action - CTA,No,BROOKLYN,NY,,
48,Employment Agency - 034,Exchange Goods/Contract Cancelled - E01,03/17/2017,03/29/2017,Cash Amount - AMT,Yes,CORONA,NY,,
49,Garage - 049,Damage / Estimate,01/12/2018,01/26/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
50,Electronic Store - 001,Breach of Contract - B03,03/22/2017,04/14/2017,Cash Amount - AMT,Yes,BRONX,NY,,
51,Health Spa - 839,Billing Dispute - B02,04/20/2018,05/22/2018,Referred to Outside - RTO,,COLTS NECK,NJ,,
52,Home Improvement Contractor - 100,Damaged Goods - D01,11/09/2017,11/15/2017,Referred to Outside - RTO,,STATEN ISLAND,NY,,
53,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,03/17/2017,04/03/2017,No Satisfactory Preempted - NSP,,NEW YORK,NY,,
54,Dry Cleaners - 230,Damaged Goods - D01,03/13/2018,03/22/2018,No Satisfactory Agreement - NSA,No,QUEENS VILLAGE,NY,,
55,Home Improvement Contractor - 100,Misrepresentation - M01,08/10/2017,09/07/2017,Referred to Hearing - RTH,No,BRONX,NY,,
56,Tax Preparers - 891,Misrepresentation - M01,03/15/2018,04/19/2018,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
57,Secondhand Dealer Auto - 005,Misrepresentation - M01,05/25/2018,06/08/2018,Cash Amount - AMT,Yes,BROOKLYN,NY,,
58,Tow Truck Company - 124,Billing Dispute - B02,12/27/2016,01/11/2017,Cash Amount - AMT,Yes,STATEN ISLAND,NY,,
59,Electronic Store - 001,Damaged Goods - D01,12/19/2017,12/22/2017,Goods Repaired - GRS,Yes,BRONX,NY,,
60,Electronic Store - 001,Misrepresentation - M01,04/03/2017,05/01/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY,,
61,Appliances - 244,Misrepresentation - M01,11/03/2017,12/11/2017,No Satisfactory Preempted - NSP,,BROOKLYN,NY,,
62,Debt Collection Agency - 122,Surcharge/Overcharge - S02,01/25/2018,02/12/2018,Resolved and Consumer Satisfied - SPF,Yes,SANDY,UT,,
63,Furniture Sales - 242,Surcharge/Overcharge - S02,02/03/2017,02/22/2017,Advised to Sue - ATS,No,WOODHAVEN,NY,,
64,Home Improvement Contractor - 100,Outstanding Judgment - J01,04/27/2018,05/11/2018,Referred to Hearing - RTH,No,ELMHURST,NY,,
65,Tow Truck Company - 124,Damage / Estimate,03/27/2017,04/26/2017,Referred to Hearing - RTH,No,MASPETH,NY,,
66,Travel Agency - 440,Wrong Goods - W01,04/20/2018,05/10/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
67,Electronic Store - 001,Advertising/Misleading - A02,07/25/2017,08/09/2017,Goods Received - GDR,Yes,BROOKLYN,NY,,
68,Debt Settlement - 248,Non-Delivery of Service - N02,11/16/2017,12/19/2017,Resolved and Consumer Satisfied - SPF,Yes,WOODLAND HILLS,CA,,
