Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Business City,Business State
Travel Agency - 440,Non-Delivery of Goods - N01,10/11/2017,11/03/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY
Furniture Sales - 242,Non-Delivery of Goods - N01,01/06/2017,01/20/2017,Goods Received - GDR,Yes,BRONX,NY
Garage - 049,Damaged Goods - D01,09/13/2017,09/29/2017,Cash Amount - AMT,Yes,NEW YORK,NY
Secondhand Dealer Auto - 005,Damaged Goods - D01,01/12/2018,01/30/2018,Goods Repaired - GRS,Yes,WYCLOFF,NJ
Jewelry Store-Retail - 823,Non-Delivery of Goods - N01,01/10/2017,01/31/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY
Laundry - 064,Misrepresentation - M01,07/03/2018,07/10/2018,Resolved and Consumer Satisfied - SPF,Yes,FLUSHING,NY
Furniture Sales - 242,Damaged Goods - D01,12/16/2016,01/06/2017,Cash Amount - AMT,Yes,LIVERPOOL,NY
Home Improvement Contractor - 100,Breach of Contract - B03,07/13/2018,07/19/2018,Referred to Outside - RTO,,BROOKLYN,NY
Tow Truck Company - 124,Surcharge/Overcharge - S02,02/14/2018,02/27/2018,Cash Amount - AMT,Yes,BROOKLYN,NY
Jewelry Store-Retail - 823,Exchange Goods/Contract Cancelled - E01,01/26/2018,02/22/2018,Advised to Sue - ATS,No,SCOTTSDALE,AZ
Tow Truck Company - 124,Misrepresentation - M01,08/07/2018,08/15/2018,Cash Amount - AMT,Yes,STATEN ISLAND,NY
Tow Truck Company - 124,Billing Dispute - B02,06/08/2017,07/17/2017,Referred to Outside - RTO,,BROOKLYN,NY
Garage - 049,Damaged Goods - D01,08/01/2018,09/07/2018,Advised to Sue - ATS,No,NEW YORK,NY
Supermarket - 819,Non-Delivery of Goods - N01,05/04/2018,05/22/2018,Complaint Invalid - CIN,,AUSTIN,TX
Misc Non-Food Retail - 817,Breach of Contract - B03,03/15/2017,04/05/2017,No Business Response - NVR,No,FRESH MEADOWS,NY
Misc Non-Food Retail - 817,Billing Dispute - B02,12/16/2016,01/26/2017,Resolved and Consumer Satisfied - SPF,Yes,SAINT LOUIS,MO
